ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/Message,String/_value,String/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,Class/SourceLine/0/_start,Class/SourceLine/0/_end,SourceLine/0/_synthetic
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In TypeScriptDTOGeneratorMojo.java,org.eclipse.che.plugin.typescript.dto.TypeScriptDTOGeneratorMojo,TypeScriptDTOGeneratorMojo.java,org/eclipse/che/plugin/typescript/dto/TypeScriptDTOGeneratorMojo.java,java\org\eclipse\che\plugin\typescript\dto\TypeScriptDTOGeneratorMojo.java,In class org.eclipse.che.plugin.typescript.dto.TypeScriptDTOGeneratorMojo,org.eclipse.che.plugin.typescript.dto.TypeScriptDTOGeneratorMojo,true,org.eclipse.che.plugin.typescript.dto.TypeScriptDTOGeneratorMojo,73,96,0,476,TypeScriptDTOGeneratorMojo.java,org/eclipse/che/plugin/typescript/dto/TypeScriptDTOGeneratorMojo.java,java\org\eclipse\che\plugin\typescript\dto\TypeScriptDTOGeneratorMojo.java,In method org.eclipse.che.plugin.typescript.dto.TypeScriptDTOGeneratorMojo.generateDTs(),org.eclipse.che.plugin.typescript.dto.TypeScriptDTOGeneratorMojo,generateDTs,()V,false,true,At TypeScriptDTOGeneratorMojo.java:[line 80],org.eclipse.che.plugin.typescript.dto.TypeScriptDTOGeneratorMojo,true,80,80,55,55,TypeScriptDTOGeneratorMojo.java,org/eclipse/che/plugin/typescript/dto/TypeScriptDTOGeneratorMojo.java,java\org\eclipse\che\plugin\typescript\dto\TypeScriptDTOGeneratorMojo.java,At TypeScriptDTOGeneratorMojo.java:[line 80],org.eclipse.che.plugin.typescript.dto.TypeScriptDTOGeneratorMojo,80,80,52,52,TypeScriptDTOGeneratorMojo.java,org/eclipse/che/plugin/typescript/dto/TypeScriptDTOGeneratorMojo.java,java\org\eclipse\che\plugin\typescript\dto\TypeScriptDTOGeneratorMojo.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,df42db39cf1532082613ae006aa235c,0,0,22,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In TypeScriptDTOGeneratorMojo.java,org.eclipse.che.plugin.typescript.dto.TypeScriptDTOGeneratorMojo,TypeScriptDTOGeneratorMojo.java,org/eclipse/che/plugin/typescript/dto/TypeScriptDTOGeneratorMojo.java,java\org\eclipse\che\plugin\typescript\dto\TypeScriptDTOGeneratorMojo.java,In class org.eclipse.che.plugin.typescript.dto.TypeScriptDTOGeneratorMojo,org.eclipse.che.plugin.typescript.dto.TypeScriptDTOGeneratorMojo,true,org.eclipse.che.plugin.typescript.dto.TypeScriptDTOGeneratorMojo,99,122,0,476,TypeScriptDTOGeneratorMojo.java,org/eclipse/che/plugin/typescript/dto/TypeScriptDTOGeneratorMojo.java,java\org\eclipse\che\plugin\typescript\dto\TypeScriptDTOGeneratorMojo.java,In method org.eclipse.che.plugin.typescript.dto.TypeScriptDTOGeneratorMojo.generateTs(),org.eclipse.che.plugin.typescript.dto.TypeScriptDTOGeneratorMojo,generateTs,()V,false,true,At TypeScriptDTOGeneratorMojo.java:[line 106],org.eclipse.che.plugin.typescript.dto.TypeScriptDTOGeneratorMojo,true,106,106,55,55,TypeScriptDTOGeneratorMojo.java,org/eclipse/che/plugin/typescript/dto/TypeScriptDTOGeneratorMojo.java,java\org\eclipse\che\plugin\typescript\dto\TypeScriptDTOGeneratorMojo.java,At TypeScriptDTOGeneratorMojo.java:[line 106],org.eclipse.che.plugin.typescript.dto.TypeScriptDTOGeneratorMojo,106,106,52,52,TypeScriptDTOGeneratorMojo.java,org/eclipse/che/plugin/typescript/dto/TypeScriptDTOGeneratorMojo.java,java\org\eclipse\che\plugin\typescript\dto\TypeScriptDTOGeneratorMojo.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,b7fb2ee739d10727dd0b982cea637a88,0,0,22,,,
Found Struts 2 endpoint,org.eclipse.che.plugin.typescript.dto.TypeScriptDtoDTSGenerator is a Struts 2 endpoint,At TypeScriptDtoDTSGenerator.java:[lines 26-78],org.eclipse.che.plugin.typescript.dto.TypeScriptDtoDTSGenerator,TypeScriptDtoDTSGenerator.java,org/eclipse/che/plugin/typescript/dto/TypeScriptDtoDTSGenerator.java,java\org\eclipse\che\plugin\typescript\dto\TypeScriptDtoDTSGenerator.java,In class org.eclipse.che.plugin.typescript.dto.TypeScriptDtoDTSGenerator,org.eclipse.che.plugin.typescript.dto.TypeScriptDtoDTSGenerator,true,,,,,,,,,,,,,,,At TypeScriptDtoDTSGenerator.java:[lines 26-78],org.eclipse.che.plugin.typescript.dto.TypeScriptDtoDTSGenerator,,26,78,,,TypeScriptDtoDTSGenerator.java,org/eclipse/che/plugin/typescript/dto/TypeScriptDtoDTSGenerator.java,java\org\eclipse\che\plugin\typescript\dto\TypeScriptDtoDTSGenerator.java,,,,,,,,,,,,,STRUTS2_ENDPOINT,3,10,SECSTR2,SECURITY,d81ad663df993c82a14c0948305ae50a,0,0,,26,78,true
Found Struts 2 endpoint,org.eclipse.che.plugin.typescript.dto.TypeScriptDtoGenerator is a Struts 2 endpoint,At TypeScriptDtoGenerator.java:[lines 41-128],org.eclipse.che.plugin.typescript.dto.TypeScriptDtoGenerator,TypeScriptDtoGenerator.java,org/eclipse/che/plugin/typescript/dto/TypeScriptDtoGenerator.java,java\org\eclipse\che\plugin\typescript\dto\TypeScriptDtoGenerator.java,In class org.eclipse.che.plugin.typescript.dto.TypeScriptDtoGenerator,org.eclipse.che.plugin.typescript.dto.TypeScriptDtoGenerator,true,,,,,,,,,,,,,,,At TypeScriptDtoGenerator.java:[lines 41-128],org.eclipse.che.plugin.typescript.dto.TypeScriptDtoGenerator,,41,128,,,TypeScriptDtoGenerator.java,org/eclipse/che/plugin/typescript/dto/TypeScriptDtoGenerator.java,java\org\eclipse\che\plugin\typescript\dto\TypeScriptDtoGenerator.java,,,,,,,,,,,,,STRUTS2_ENDPOINT,3,10,SECSTR2,SECURITY,f3e06db0bf6204183bbf0517cb24e462,0,0,,41,128,true
