BugId,Link,Title,Type,concurrencyBugs,configBugs,optimBugs,perfBugs,errorBugs,hangBugs
HADOOP-16390,https://issues.apache.org/jira/browse/HADOOP-16390?jql=id%3DHADOOP-16390,Build fails due to bad use of '>' in javadoc,[],0,0,0,0,0,0
HADOOP-16388,https://issues.apache.org/jira/browse/HADOOP-16388?jql=id%3DHADOOP-16388,Build fails: find: ./share: No such file or directory,[],0,0,0,0,0,0
HADOOP-16386,https://issues.apache.org/jira/browse/HADOOP-16386?jql=id%3DHADOOP-16386,FindBugs warning in branch-2: GlobalStorageStatistics defines non-transient non-serializable instance field map,[],0,0,0,0,0,0
HADOOP-16385,https://issues.apache.org/jira/browse/HADOOP-16385?jql=id%3DHADOOP-16385,"Namenode crashes with ""RedundancyMonitor thread received Runtime exception""",[],0,0,0,0,0,0
HADOOP-16381,https://issues.apache.org/jira/browse/HADOOP-16381?jql=id%3DHADOOP-16381,The JSON License is included in binary tarball via azure-documentdb:1.16.2,[],0,0,0,0,0,0
HADOOP-16378,https://issues.apache.org/jira/browse/HADOOP-16378?jql=id%3DHADOOP-16378,RawLocalFileStatus throws exception if a file is created and deleted quickly,[],0,0,0,0,0,0
HADOOP-16374,https://issues.apache.org/jira/browse/HADOOP-16374?jql=id%3DHADOOP-16374,Fix DistCp#cleanup called twice unnecessarily,[],0,0,0,0,0,0
HADOOP-16373,https://issues.apache.org/jira/browse/HADOOP-16373?jql=id%3DHADOOP-16373,Fix typo in FileSystemShell#test documentation,[],0,0,0,0,0,0
HADOOP-16372,https://issues.apache.org/jira/browse/HADOOP-16372?jql=id%3DHADOOP-16372,Fix typo in DFSUtil getHttpPolicy method,[],0,0,0,0,0,0
HADOOP-16361,https://issues.apache.org/jira/browse/HADOOP-16361?jql=id%3DHADOOP-16361,TestSecureLogins#testValidKerberosName fails on branch-2,[],0,0,0,0,0,0
HADOOP-16352,https://issues.apache.org/jira/browse/HADOOP-16352?jql=id%3DHADOOP-16352,Fix hugo warnings in hadoop-site,[],0,0,0,0,0,0
HADOOP-16345,https://issues.apache.org/jira/browse/HADOOP-16345?jql=id%3DHADOOP-16345,Potential NPE when instantiating FairCallQueue metrics,[],0,0,0,0,0,0
HADOOP-16341,https://issues.apache.org/jira/browse/HADOOP-16341?jql=id%3DHADOOP-16341,ShutDownHookManager: Regressed performance on Hook removals after HADOOP-15679,[],0,0,0,0,0,0
HADOOP-16339,https://issues.apache.org/jira/browse/HADOOP-16339?jql=id%3DHADOOP-16339,minicluster dependencies pulls log4j.properties onto classpath,[],0,0,0,0,0,0
HBASE-22955,https://issues.apache.org/jira/browse/HBASE-22955?jql=id%3DHBASE-22955,Branches-1 precommit and nightly yetus jobs are using jdk8 for jdk7 jobs,[],0,0,0,0,0,0
HBASE-22952,https://issues.apache.org/jira/browse/HBASE-22952?jql=id%3DHBASE-22952,HBCK2 replication command is incompatible with 2.0.x,[],0,0,0,0,0,0
HBASE-22951,https://issues.apache.org/jira/browse/HBASE-22951?jql=id%3DHBASE-22951,"[HBCK2] hbase hbck throws IOE ""No FileSystem for scheme: hdfs""",[],0,0,0,0,0,0
HBASE-22949,https://issues.apache.org/jira/browse/HBASE-22949?jql=id%3DHBASE-22949,[HBCK2] Add lang3 as explicit dependency,[],0,0,0,0,0,0
HBASE-22944,https://issues.apache.org/jira/browse/HBASE-22944?jql=id%3DHBASE-22944,TableNotFoundException: hbase:quota  is thrown when region server is restarted.,[],0,0,0,0,0,0
HBASE-22943,https://issues.apache.org/jira/browse/HBASE-22943?jql=id%3DHBASE-22943,Various procedures should not cache log trace level,[],0,0,0,0,0,0
HBASE-22941,https://issues.apache.org/jira/browse/HBASE-22941?jql=id%3DHBASE-22941,MetaTableAccessor.getMergeRegions() returns parent regions in random order,[],0,0,0,0,0,0
HBASE-22940,https://issues.apache.org/jira/browse/HBASE-22940?jql=id%3DHBASE-22940,Fix snapshot NoNode error,[],0,0,0,0,0,0
HBASE-22939,https://issues.apache.org/jira/browse/HBASE-22939?jql=id%3DHBASE-22939,SpaceQuotas- Bulkload from different hdfs failed when space quotas are turned on.,[],0,0,0,0,0,0
HBASE-22937,https://issues.apache.org/jira/browse/HBASE-22937?jql=id%3DHBASE-22937,The RawBytesComparator in branch-1 have wrong comparison order,[],0,0,0,0,0,0
HBASE-22936,https://issues.apache.org/jira/browse/HBASE-22936?jql=id%3DHBASE-22936,Close memStoreScanners in StoreScanner#updateReaders else memory leak,[],0,0,0,0,0,0
HBASE-22935,https://issues.apache.org/jira/browse/HBASE-22935?jql=id%3DHBASE-22935,TaskMonitor warns MonitoredRPCHandler task may be stuck when it recently started,[],0,0,0,0,0,0
HBASE-22929,https://issues.apache.org/jira/browse/HBASE-22929?jql=id%3DHBASE-22929,MemStoreLAB  ChunkCreator may memory leak,[],0,0,0,0,0,0
HBASE-22928,https://issues.apache.org/jira/browse/HBASE-22928?jql=id%3DHBASE-22928,ScanMetrics counter update may not happen in case of exception in TableRecordReaderImpl,[],0,0,0,0,0,0
HBASE-22926,https://issues.apache.org/jira/browse/HBASE-22926?jql=id%3DHBASE-22926,REST server should return 504 Gateway Timeout Error on scanner timeout,[],0,0,0,0,0,0
HBASE-22923,https://issues.apache.org/jira/browse/HBASE-22923?jql=id%3DHBASE-22923,hbase:meta is assigned to localhost when we downgrade the hbase version,[],0,0,0,0,0,0
HBASE-22922,https://issues.apache.org/jira/browse/HBASE-22922?jql=id%3DHBASE-22922,Only the two first regions are locked in MergeTableRegionsProcedure,[],0,0,0,0,0,0
HBASE-22918,https://issues.apache.org/jira/browse/HBASE-22918?jql=id%3DHBASE-22918,RegionServer violates failfast fault assumption,[],0,0,0,0,0,0
HBASE-22917,https://issues.apache.org/jira/browse/HBASE-22917?jql=id%3DHBASE-22917,Proc-WAL roll fails always saying someone else has already created log,[],0,0,0,0,0,0
HBASE-22915,https://issues.apache.org/jira/browse/HBASE-22915?jql=id%3DHBASE-22915,HBase version,[],0,0,0,0,0,0
HBASE-22904,https://issues.apache.org/jira/browse/HBASE-22904?jql=id%3DHBASE-22904,NPE occurs when RS send space quota usage report during HMaster init,[],0,0,0,0,0,0
HBASE-22903,https://issues.apache.org/jira/browse/HBASE-22903?jql=id%3DHBASE-22903,alter_status command is broken,[],0,0,0,0,0,0
HBASE-22902,https://issues.apache.org/jira/browse/HBASE-22902?jql=id%3DHBASE-22902,At regionserver start there's a request to roll the WAL,[],0,0,0,0,0,0
HBASE-22901,https://issues.apache.org/jira/browse/HBASE-22901?jql=id%3DHBASE-22901,TestFlushSnapshotFromClient is failing,[],0,0,0,0,0,0
HBASE-22900,https://issues.apache.org/jira/browse/HBASE-22900?jql=id%3DHBASE-22900,No longer include multiple httpcore and httpclient versions in binary package,[],0,0,0,0,0,0
HBASE-22896,https://issues.apache.org/jira/browse/HBASE-22896?jql=id%3DHBASE-22896,TestHRegion.testFlushMarkersWALFail is flaky,[],0,0,0,0,0,0
HBASE-22893,https://issues.apache.org/jira/browse/HBASE-22893?jql=id%3DHBASE-22893,Change the comment in HBaseClassTestRule to reflect change in default test timeouts,[],0,0,0,0,0,0
HBASE-22889,https://issues.apache.org/jira/browse/HBASE-22889?jql=id%3DHBASE-22889,hbase-shaded-client for Hbase 2.x does not include all the classes it needs at runtime,[],0,0,0,0,0,0
HBASE-22887,https://issues.apache.org/jira/browse/HBASE-22887?jql=id%3DHBASE-22887,HFileOutputFormat2 split a lot of HFile by roll once per rowkey,[],0,0,0,0,0,0
HBASE-22882,https://issues.apache.org/jira/browse/HBASE-22882?jql=id%3DHBASE-22882,TestFlushSnapshotFromClient#testConcurrentSnapshottingAttempts is flakey (was written flakey),[],0,0,0,0,0,0
