"name-pr","version","name","loc","wmc","dit","cbo","rfc","lcom","bug","fields","Methods","NOSI","Returns","Loops","ComparisonsQty","TryCatchQty","ParenthExpsQty","StrLitQty","NumQty","MathOperQty","VarQty","MaxNesting","Lambdas","WordsQty","Modifiers","Assignments","SubClassQty","AnonymousClassQty","FinalFields","DefaultFields","PrivateFields","ProtectedFields","PublicFields","StaticFields","SyncFields","AbstractMethods","DefaultMethods","FinalMethods","SyncMethods","PrivateMethods","ProtectedMethods","PublicMethods"
"spring-cloud-dataflow","v2.1.2.RELEASE","org.springframework.cloud.dataflow.server.single.security.LocalServerSecurityWithUsersFileTests","105","19","1","17","37","1","no","12","3","3","1","1","1","1","0","674","5","5","14","2","0","123","1","19","1","0","3","0","6","0","6","7","0","0","0","0","0","0","0","3"
"spring-cloud-dataflow","v2.1.2.RELEASE","org.springframework.cloud.dataflow.rest.client.dsl.StreamDslTests","167","19","1","14","60","0","yes","5","19","2","1","0","0","0","0","140","29","0","54","1","1","70","1","51","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","19"
"spring-cloud-dataflow","v2.1.2.RELEASE","org.springframework.cloud.dataflow.registry.support.AppResourceCommonTests","126","19","1","9","21","0","no","2","15","0","0","0","0","4","0","47","0","1","24","1","0","102","1","36","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","15"
"spring-cloud-dataflow","v2.1.2.RELEASE","org.springframework.cloud.dataflow.server.controller.TaskControllerTests","196","22","1","28","63","0","no","12","22","2","0","0","0","0","0","220","28","1","30","0","0","131","1","19","0","0","0","1","11","0","0","0","0","0","0","0","0","0","0","22"
"spring-cloud-dataflow","v2.1.2.RELEASE","org.springframework.cloud.dataflow.server.batch.JdbcSearchableJobExecutionDao","209","29","2","17","40","122","no","11","17","4","20","0","5","4","2","21","15","8","21","1","0","122","1","24","2","1","6","0","11","0","0","6","0","0","1","0","0","4","0","12"
"spring-cloud-dataflow","v2.1.2.RELEASE","org.springframework.cloud.dataflow.server.controller.TaskSchedulerControllerTests","119","13","1","24","43","22","no","7","13","0","1","0","0","0","0","113","21","7","24","0","0","95","1","18","0","0","0","1","6","0","0","0","0","0","0","0","0","3","0","10"
"spring-cloud-dataflow","v2.1.2.RELEASE","org.springframework.cloud.dataflow.shell.TestConfig","34","2","1","13","11","1","yes","0","2","0","2","0","0","0","0","2","0","0","2","0","0","33","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"spring-cloud-dataflow","v2.1.2.RELEASE","org.springframework.cloud.dataflow.shell.command.TaskCommandTests","175","15","2","12","37","53","yes","11","15","7","0","0","0","0","0","106","133","9","38","0","0","137","1","39","0","0","10","0","11","0","0","11","0","0","0","0","0","1","0","14"
"spring-cloud-dataflow","v2.1.2.RELEASE","org.springframework.cloud.dataflow.server.single.security.OAuth2ServerResource","43","6","2","8","13","2","no","5","4","6","1","0","1","1","0","7","0","2","7","2","0","61","1","7","0","0","2","0","5","0","0","2","0","0","0","0","0","0","2","2"
"spring-cloud-dataflow","v2.1.2.RELEASE","org.springframework.cloud.dataflow.server.stream.SkipperStreamDeployerTests","332","25","1","30","86","231","yes","0","22","17","1","0","0","3","0","145","21","1","110","1","0","132","1","117","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","20"
"spring-cloud-dataflow","v2.1.2.RELEASE","org.springframework.cloud.dataflow.server.single.LocalDataflowResource","130","16","2","18","31","30","no","11","13","5","4","0","1","0","0","23","0","4","15","2","0","78","1","32","1","0","3","3","8","0","0","0","0","0","0","0","0","1","2","10"
